"TAR"	"ARF"	"CO"	"GA"	"Etapas"
"1"	5.1	3.5	1.4	0.2	"Etapa1"
"2"	4.9	3	1.4	0.2	"Etapa1"
"3"	4.7	3.2	1.3	0.2	"Etapa1"
"4"	4.6	3.1	1.5	0.2	"Etapa1"
"5"	5	3.6	1.4	0.2	"Etapa1"
"6"	5.4	3.9	1.7	0.4	"Etapa1"
"7"	4.6	3.4	1.4	0.3	"Etapa1"
"8"	5	3.4	1.5	0.2	"Etapa1"
"9"	4.4	2.9	1.4	0.2	"Etapa1"
"10"	4.9	3.1	1.5	0.1	"Etapa1"
"11"	5.4	3.7	1.5	0.2	"Etapa1"
"12"	4.8	3.4	1.6	0.2	"Etapa1"
"13"	4.8	3	1.4	0.1	"Etapa1"
"14"	4.3	3	1.1	0.1	"Etapa1"
"15"	5.8	4	1.2	0.2	"Etapa1"
"16"	5.7	4.4	1.5	0.4	"Etapa1"
"17"	5.4	3.9	1.3	0.4	"Etapa1"
"18"	5.1	3.5	1.4	0.3	"Etapa1"
"19"	5.7	3.8	1.7	0.3	"Etapa1"
"20"	5.1	3.8	1.5	0.3	"Etapa1"
"21"	5.4	3.4	1.7	0.2	"Etapa1"
"22"	5.1	3.7	1.5	0.4	"Etapa1"
"23"	4.6	3.6	1	0.2	"Etapa1"
"24"	5.1	3.3	1.7	0.5	"Etapa1"
"25"	4.8	3.4	1.9	0.2	"Etapa1"
"26"	5	3	1.6	0.2	"Etapa1"
"27"	5	3.4	1.6	0.4	"Etapa1"
"28"	5.2	3.5	1.5	0.2	"Etapa1"
"29"	5.2	3.4	1.4	0.2	"Etapa1"
"30"	4.7	3.2	1.6	0.2	"Etapa1"
"31"	4.8	3.1	1.6	0.2	"Etapa1"
"32"	5.4	3.4	1.5	0.4	"Etapa1"
"33"	5.2	4.1	1.5	0.1	"Etapa1"
"34"	5.5	4.2	1.4	0.2	"Etapa1"
"35"	4.9	3.1	1.5	0.2	"Etapa1"
"36"	5	3.2	1.2	0.2	"Etapa1"
"37"	5.5	3.5	1.3	0.2	"Etapa1"
"38"	4.9	3.6	1.4	0.1	"Etapa1"
"39"	4.4	3	1.3	0.2	"Etapa1"
"40"	5.1	3.4	1.5	0.2	"Etapa1"
"41"	5	3.5	1.3	0.3	"Etapa1"
"42"	4.5	2.3	1.3	0.3	"Etapa1"
"43"	4.4	3.2	1.3	0.2	"Etapa1"
"44"	5	3.5	1.6	0.6	"Etapa1"
"45"	5.1	3.8	1.9	0.4	"Etapa1"
"46"	4.8	3	1.4	0.3	"Etapa1"
"47"	5.1	3.8	1.6	0.2	"Etapa1"
"48"	4.6	3.2	1.4	0.2	"Etapa1"
"49"	5.3	3.7	1.5	0.2	"Etapa1"
"50"	5	3.3	1.4	0.2	"Etapa1"
